MSE_change_made;iteration;MSE;dMSE/dC;MSE_change;a_multiplier_used;a;C;log_iteration;log_MSE;log_dMSE/dC;log_MSE_change;log_a
True;0;167.59939890447848;-0.9728449432659013,-4.282870848754213,-18.00753981292132,-77.15190293943522,-329.79964955594863,-1416.8949196666847;-188006.2695684688;1.0;1e-05;-0.9022898620275808,0.13408698036570527,-0.08395698341383177,0.3011284294809357,0.7997698361587213,0.5066591720144814;;2.2242724566991727;-0.011956374171757081,0.6317349783146015,1.2554543836327021,1.8873466423357073,2.5182501898288194,3.1513376431189464;5.274172332208304;-5.0
True;0;167.59939890447848;4.266628427684407,-26.520674535251246,96.58663360045894,-547.9579256843078,2195.6675995260225,-11747.43633856319;3076.5374323891397;1;1e-05;-0.9023325283118576,0.13435218711105779,-0.08492284974983637,0.30660800873777877,0.7778131601634611,0.6241335354001133;;2.2242724566991727;0.6300848226500635,1.4235845658568675,1.9849170295706478,2.738747212964955,3.3415665932378302,4.069943100182699;3.488062203539487;-5.0
True;0;167.59939890447848;1.5111543647834942,-12.048037304638541,30.87694756778824,-234.46757148679302,641.0863622698629,-4619.361945963773;735.9234020748783;1;1e-05;-0.9023476398555055,0.13447266748410416,-0.08523161922551425,0.3089526844526467,0.7714022965407625,0.670327154859751;;2.2242724566991727;0.1793088298913024,1.0809163035755485,1.489634360316887,2.3700827852249935,2.806916538303259,3.664581992334524;2.866832613539429;-5.0
True;0;167.59939890447848;1.6998670318049003,-22.24127488377806,42.60337577629214,-551.9823890861364,1079.095636204423,-13683.444713076842;1920.544007425857;1;1e-05;-0.9023646385258235,0.13469508023294194,-0.08565765298327718,0.31447250834350804,0.7606113401787183,0.8071616019905195;;2.2242724566991727;0.2304149510183218,1.3471596776546726,1.6294440127865248,2.7419252218510826,3.0330599362818753,4.1361954417962945;3.283424263057166;-5.0
True;0;167.59939890447848;2.022294729899012,-5.453143127839017,29.097847213462472,-86.239120440197,436.75268100886456,-1372.48586384748;61.86428633941563;1;1e-05;-0.9023848614731225,0.13474961166422034,-0.0859486314554118,0.31533489954791,0.7562438133686297,0.8208864606289943;;2.2242724566991727;0.3058444500883106,0.73664689669928,1.463860859161209,1.93570431846051,2.6402355795823462,3.1375078800549887;1.7914400073106296;-5.0
True;0;167.59939890447848;4.146870544783003,-14.023057148151238,78.06009485079693,-245.7327063618064,1495.1441236365324,-4240.2388589951;566.4706143692102;1;1e-05;-0.9024263301785703,0.13488984223570186,-0.08672923240391978,0.31779222661152806,0.7412923721322644,0.8632888492189453;;2.2242724566991727;0.617720477957715,1.146842703918556,1.8924290746566401,2.3904629637537633,3.1746830582679366,3.627390321739358;2.7531773857822794;-5.0
True;0;110.02219989286777;1.1693117665169157,-2.2659690390891876,17.10459801906604,-37.80946973819807,262.73068794192466,-645.3392853371877;-57.5771990116107;1.0;1e-05;-0.9024380232962355,0.13491250192609275,-0.08690027838411044,0.31817032130891004,0.7386650652528451,0.8697422420723172;;2.0414803244147066;0.06793031990956984,0.3552539716153836,1.23311287213974,1.5776005866090472,2.4195108029933454,2.809788103795858;1.7602505337030636;-5.0
True;0;31.904404790782532;0.6852954065984169,-0.5757645823884592,7.710484146765485,-5.780087017656397,86.77926842360459,-55.258017846739406;-78.11779510208524;1.0;1e-05;-0.9024448762503015,0.13491825957191664,-0.08697738322557809,0.3182281221790866,0.737797272568609,0.8702948222507846;;1.5038506468273973;-0.16412217916414096,-0.2397550538489392,0.8870816485655205,0.7619343766564342,1.9384159845702056,1.7423953023383159;1.892749976698365;-5.0
True;0;31.904404790782532;2.4912395476628677,-4.312766772398753,47.30409664079391,-109.07559763122212,967.3112560130286,-2697.748290010965;376.596818408066;1;1e-05;-0.9024697886457781,0.13496138723964063,-0.08745042419198602,0.3193188781553988,0.7281241600084788,0.8972723051508942;;1.5038506468273973;0.39641548957031525,0.6347559728227459,1.6748987532420354,2.037727601188823,2.9855662414236135,3.431001425929315;2.57587664665872;-5.0
True;0;31.904404790782532;1.7846770204186821,-7.048592237576697,33.582673087407365,-149.1227449265903,707.4458577090606,-3299.109377715642;244.6103645227984;1;1e-05;-0.9024876354159823,0.1350318731620164,-0.08778625092286009,0.32081010560466466,0.7210497014313881,0.9302633989280507;;1.5038506468273973;0.25155963168541123,0.8481023872748426,1.5261152618111709,2.1735438892125596,2.849693208015486,3.518396714257348;2.3884748548249393;-5.0
True;0;31.904404790782532;2.026926086358555,6.858814827825106,30.085906744725804,109.23235512127762,457.3785268253851,1720.8670143714444;147.712586433233;1;1e-05;-0.9025079046768459,0.13496328501373814,-0.08808710999030735,0.31971778205345186,0.7164759161631343,0.9130547287843362;;1.5038506468273973;0.3068379120517199,0.8362490780678008,1.4783631050181902,2.0383512974286564,2.6602757713329215,3.235747310097347;2.1694175026620375;-5.0
True;0;10.874814054762396;0.38796154967434493,-1.0841969154714914,3.4752161589790966,-10.682040851671616,33.77113147283493,-105.83621396929084;-21.029590736020136;1.0;1e-05;-0.9025117842923427,0.13497412698289285,-0.08812186215189714,0.3198246024619686,0.716138204848406,0.9141130909240291;;1.0364218398169254;-0.41121131459065774,0.03510816738322508,0.5409818229497885,1.028654234522618,1.5285456115438125,2.0246342956384913;1.322830820816724;-5.0
True;0;10.874814054762396;2.1063811861879436,-9.09890623408317,40.4641004352186,-183.48952979215144,846.9021637539937,-3965.359298967551;283.0276480270771;1;1e-05;-0.9025328481042045,0.1350651160452337,-0.08852650315624933,0.3216594977598901,0.707669183210866,0.9537666839137047;;1.0364218398169254;0.32353696707634,0.958989189568177,1.6070698899562186,2.2636112877530974,2.9278332424488456,3.5982825446143614;2.451828862376217;-5.0
True;0;10.874814054762396;2.8378825460017136,-0.6738053207023159,53.987731733375135,23.075860562499546,1097.8366051110265,1111.4524282661869;383.06729649617193;1;1e-05;-0.9025612269296646,0.13507185409844072,-0.08906638047358308,0.3214287391542651,0.6966908171597558,0.9426521596310428;;1.0364218398169254;0.45299441695693465,-0.17146556393588375,1.7322950811965154,1.3631579060392691,3.0405377073462083,3.0458908790155537;2.583275076656775;-5.0
True;0;10.874814054762396;1.7634336053700668,-5.224700036864861,31.48556844064504,-117.35722799033927,634.4430105770746,-2681.1069507586853;163.4010200279385;1;1e-05;-0.9025788612657183,0.13512410109880937,-0.08938123615798953,0.3226023114341685,0.690346387053985,0.9694632291386296;;1.0364218398169254;0.24635911279045045,0.7180613615632018,1.4981115384640913,2.0695098428025305,2.802392617284192,3.428314138562477;2.213254763280377;-5.0
True;0;10.874814054762396;1.4129182726568124,-0.8882242372933721,23.378113952148514,-26.8132252709897,417.17084384143527,-699.454925594937;110.62323580758613;1;1e-05;-0.9025929904484449,0.13513298334118232,-0.08961501729751101,0.3228704436868784,0.6861746786155707,0.9764577783945789;;1.0364218398169254;0.15011704170653586,-0.0514773802513415,1.3688094711879089,1.42834905692008,2.6203139478818773,2.844759732843391;2.043846357738517;-5.0
True;0;5.546009210697421;0.3320068283633556,-0.07048933107621792,2.359803935912887,-1.2843720061720416,18.086967430584366,-16.251630406026482;-5.328804844064975;1.0;1e-05;-0.9025963105167285,0.13513368823449307,-0.08963861533687013,0.3228832874069401,0.6859938089412648,0.9766202946986392;;0.7439805865097373;-0.478852984097079,-1.1518766107441665,0.37287592115300666,0.10869083123150924,1.257365756546522,1.210896937057745;0.7266298154374478;-5.0
True;0;5.546009210697421;0.9895326977544295,-2.6821638075606082,16.93806873823822,-62.194379755918135,319.74183449853996,-1322.9639681049655;58.96896754539493;1;1e-05;-0.9026062058437061,0.13516050987256867,-0.08980799602425252,0.3235052312044993,0.6827963905962794,0.9898499343796888;;0.7439805865097373;-0.004569850553391401,0.4284852979552656,1.2288638909923046,1.7937511411012264,2.5047994623688083,3.121548016019487;1.7706235240256771;-5.0
True;0;5.546009210697421;1.100248306881454,-0.5078962978413348,13.191031947639676,-16.13185088301875,169.52615540949432,-322.8709864947312;37.940397755351164;1;1e-05;-0.902617208326775,0.13516558883554708,-0.08993990634372892,0.3236665497133295,0.6811011290421844,0.9930786442446361;;0.7439805865097373;0.04149070892086545,-0.2942249528200325,1.120278772167647,1.20768419889339,2.229236713003377,2.5090290206400656;1.5791018795850282;-5.0
True;0;5.546009210697421;0.7499888151523145,2.3831749774621698,8.59359662154145,30.280804278104714,111.224139200614,409.02132232963044;49.348090883588974;1;1e-05;-0.9026247082149265,0.13514175708577245,-0.09002584230994433,0.32336374167054843,0.6799888876501783,0.9889884310213398;;0.7439805865097373;-0.1249452133467686,0.3771559302845496,0.9341749642943418,1.4811674061286964,2.046199053288412,2.6117459484198817;1.6932703558960231;-5.0
True;0;5.546009210697421;1.043642237898953,1.689482238012154,11.906304074011368,22.55147325295744,146.35074049056763,322.0237922672261;57.72126286646412;1;1e-05;-0.9026351446373054,0.13512486226339232,-0.09014490535068444,0.32313822693801886,0.6785253802452726,0.9857681930986676;;0.7439805865097373;0.018551647387974296,0.22775363027850412,1.0757769697644417,1.3531749189292785,2.165394924174347,2.5078879601077717;1.7613358243261161;-5.0
True;0;5.546009210697421;2.563471292949536,2.552838419579137,46.2464034573066,40.25025683744411,863.5560114856385,517.0040137282122;302.7351431352328;1;1e-05;-0.9026607793502349,0.13509933387919654,-0.0906073693852575,0.32273572436964443,0.6698898201304163,0.9805981529613854;;0.7439805865097373;0.40882845835398174,0.40702332725786866,1.6650779636830475,1.6047686559518088,2.936290511782141,2.713493914724983;2.4810628391389287;-5.0
True;0;5.546009210697421;2.263907624261415,5.1708405719275445,42.93639212336844,122.8658344796711,886.2051495893169,2896.813545794158;371.51253123500453;1;1e-05;-0.9026834184264775,0.13504762547347726,-0.09103673330649119,0.32150706602484774,0.6610277686345232,0.9516300175034438;;0.7439805865097373;0.3548587020692354,0.7135611477508929,1.6328255485598973,2.0894311346378034,2.947534269315235,3.4619205426187802;2.569973467233683;-5.0
